FUNDOS;SETOR;PREÇO ATUAL (R$);LIQUIDEZ DIÁRIA (R$);P/VP;ÚLTIMO DIVIDENDO;DIVIDEND YIELD;DY (3M) ACUMULADO;DY (6M) ACUMULADO;DY (12M) ACUMULADO;DY (3M) MÉDIA;DY (6M) MÉDIA;DY (12M) MÉDIA;DY ANO;VARIAÇÃO PREÇO;RENTAB. PERÍODO;RENTAB. ACUMULADA;PATRIMÔNIO LÍQUIDO;VPA;P/VPA;DY PATRIMONIAL;VARIAÇÃO PATRIMONIAL;RENTAB. PATR. PERÍODO;RENTAB. PATR. ACUMULADA;QUANT. ATIVOS
CTXT11;LAJES CORPORATIVAS;12,95;1.901,48;0,39;0,01;0,04%;0,64%;1,14%;4,78%;0,21%;0,19%;0,40%;1,01%;1,00%;1,04%;-48,00%;107.894.241,20;48,33;0,27;0,19%;-0,10%;0,09%;0,54%;1
CVBI11;PAPÉIS;92,4;2.394.581,86;0,97;0,9;0,96%;2,98%;6,59%;12,40%;0,99%;1,10%;1,03%;8,92%;-1,49%;-0,55%;12,44%;1.063.338.891,97;93,28;0,99;0,80%;-1,50%;-0,71%;4,81%;0
CXAG11;AGÊNCIAS DE BANCOS;82,2;123.355,41;0,71;0,71;0,85%;2,64%;5,57%;11,55%;0,88%;0,93%;0,96%;7,51%;-4,57%;-3,76%;17,56%;241.567.834,64;114,82;0,72;0,65%;0,04%;0,70%;18,24%;32
CXCE11B;LAJES CORPORATIVAS;42,38;33.278,66;0,65;0,42;0,96%;2,87%;5,86%;12,04%;0,96%;0,98%;1,00%;7,89%;-0,55%;0,41%;12,86%;111.854.473,67;64,79;0,65;0,70%;-0,04%;0,66%;-0,68%;1
CXCI11;INDEFINIDO;89,35;104.728,72;0,92;0,85;0,94%;2,89%;6,13%;12,40%;0,96%;1,02%;1,03%;8,26%;0,95%;1,90%;27,60%;200.740.763,05;94,33;0,95;0,88%;-4,41%;-3,57%;2,57%;0
CXCO11;LAJES CORPORATIVAS;79,89;223.963,10;0,8;0,74;0,87%;3,40%;6,52%;12,45%;1,13%;1,09%;1,04%;8,58%;-1,14%;-0,28%;30,03%;388.964.047,75;96,6;0,83;0,75%;0,03%;0,77%;8,83%;10
CXRI11;FUNDO DE FUNDOS;82,4;45.877,41;0,9;0,57;0,67%;2,16%;4,75%;9,82%;0,72%;0,79%;0,82%;6,54%;7,13%;7,85%;43,77%;144.265.006,25;83,61;0,99;0,66%;-5,52%;-4,90%;5,15%;0
CXTL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;287;13.912,24;0,69;1,99;0,67%;1,89%;9,30%;22,72%;0,63%;1,55%;1,89%;26,47%;-6,35%;-5,72%;-12,95%;22.235.708,87;686,89;0,42;0,20%;-1,86%;-1,66%;-1,49%;1
CYCR11;INDEFINIDO;9,28;299.848,10;0,95;0,1;1,06%;3,38%;7,03%;14,16%;1,13%;1,17%;1,18%;9,38%;3,07%;4,16%;15,68%;160.381.714,53;95,07;0,1;0,11%;-0,69%;-0,59%;6,16%;0
DAMT11B;SHOPPINGS;19,05;877,21;1,45;0,08;0,47%;1,29%;2,91%;5,74%;0,43%;0,49%;0,64%;4,70%;-10,11%;-9,69%;15,05%;96.266.043,23;N/A;N/A;N/A;N/A;N/A;N/A;1
DCRA11;MISTO;9,1;317.571,00;N/A;0,12;1,29%;3,92%;8,06%;15,40%;1,31%;1,34%;1,28%;10,57%;-2,61%;-1,35%;12,28%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
DEVA11;PAPÉIS;44,21;2.329.381,86;0,48;0,47;0,95%;2,81%;6,67%;12,41%;0,94%;1,11%;1,03%;9,06%;-9,32%;-8,46%;-40,71%;1.351.401.436,46;101,34;0,44;0,89%;0,14%;1,03%;18,73%;0
DPRO11;INDEFINIDO;92,99;2.131,25;0,96;0,65;0,00%;0,83%;2,48%;8,02%;0,28%;0,41%;0,67%;3,40%;0,00%;0,00%;N/A;35.963.741,09;N/A;N/A;N/A;N/A;N/A;N/A;1
DRIT11B;LAJES CORPORATIVAS;90,84;970,47;0,65;0,29;0,31%;1,87%;3,79%;6,25%;0,62%;0,63%;0,52%;4,84%;-8,76%;-8,48%;-25,42%;61.446.184,81;125,65;0,72;0,53%;-0,20%;0,34%;2,37%;4
DVFF11;FUNDO DE FUNDOS;85,86;119.664,62;0,89;0,8;0,93%;2,70%;5,92%;12,09%;0,90%;0,99%;1,01%;7,94%;0,20%;1,13%;30,30%;105.791.331,18;91,56;0,94;0,93%;-4,01%;-3,12%;8,77%;0
EDFO11B;LAJES CORPORATIVAS;191;6.343,31;1,09;1,76;0,00%;1,84%;4,43%;9,49%;0,61%;0,74%;0,79%;6,13%;0,00%;0,00%;N/A;42.649.779,25;191,82;1;0,86%;-0,03%;0,82%;7,83%;1
EDGA11;LAJES CORPORATIVAS;20;29.916,48;0,32;0,07;0,34%;1,04%;3,10%;6,96%;0,35%;0,52%;0,58%;3,72%;-3,16%;-2,83%;9,04%;233.462.987,56;66,14;0,3;0,23%;-0,02%;0,21%;0,95%;1
EGAF11;INDEFINIDO;98,5;907.356,66;1,03;1,5;1,50%;4,29%;8,44%;28,38%;1,43%;1,41%;2,58%;11,05%;-0,26%;1,24%;8,17%;109.513.479,76;98,07;1;1,22%;0,00%;0,00%;0,00%;0
EQIR11;INDEFINIDO;9,78;229.031,28;0,97;0,11;1,21%;3,68%;7,38%;24,16%;1,23%;1,23%;2,01%;8,62%;2,13%;3,37%;1,89%;49.815.807,79;9,8;1;1,12%;-1,52%;-0,41%;-89,58%;0
ERCR11;VAREJO;76.000,00;N/A;1,33;1.915,69;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;135.700.836,15;69.829,66;1,09;1,12%;-0,10%;1,02%;3,32%;0
ERPA11;LAJES CORPORATIVAS;120;72.425,83;0,88;0,72;0,00%;0,61%;1,24%;1,80%;0,20%;0,21%;0,15%;1,24%;0,00%;0,00%;N/A;68.348.147,51;116,21;1,03;0,60%;0,01%;0,61%;3,77%;2
