FUNDOS;SETOR;PREÇO ATUAL (R$);LIQUIDEZ DIÁRIA (R$);P/VP;ÚLTIMO DIVIDENDO;DIVIDEND YIELD;DY (3M) ACUMULADO;DY (6M) ACUMULADO;DY (12M) ACUMULADO;DY (3M) MÉDIA;DY (6M) MÉDIA;DY (12M) MÉDIA;DY ANO;VARIAÇÃO PREÇO;RENTAB. PERÍODO;RENTAB. ACUMULADA;PATRIMÔNIO LÍQUIDO;VPA;P/VPA;DY PATRIMONIAL;VARIAÇÃO PATRIMONIAL;RENTAB. PATR. PERÍODO;RENTAB. PATR. ACUMULADA;QUANT. ATIVOS
SEED11;INDEFINIDO;98,99;197.980,00;1,11;0,74;0,00%;0,48%;1,64%;1,64%;0,16%;0,27%;0,14%;1,64%;0,00%;0,00%;N/A;146.542.434,60;N/A;N/A;N/A;N/A;N/A;N/A;0
SEQR11;MISTO;64,21;135.518,41;0,69;0,71;1,09%;3,25%;6,67%;13,11%;1,08%;1,11%;1,09%;8,96%;-3,41%;-2,36%;16,32%;150.425.119,96;96,27;0,67;0,70%;0,22%;0,93%;7,92%;4
SHOP11;SHOPPINGS;68;272;1,43;6,75;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;70.340.719,59;N/A;N/A;N/A;N/A;N/A;N/A;1
SHPH11;SHOPPINGS;790;42.870,14;0,89;3,75;0,48%;2,04%;3,85%;6,12%;0,68%;0,64%;0,51%;4,83%;-1,75%;-1,28%;11,85%;542.318.124,24;889,27;0,89;0,30%;0,02%;0,33%;3,96%;1
SIGR11;INDEFINIDO;100;200;0,97;1,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;40.045.547,93;N/A;N/A;N/A;N/A;N/A;N/A;0
SNAG11;PAPÉIS;10,3;1.533.506,14;0,1;0,12;0,00%;2,36%;5,78%;12,71%;0,79%;0,96%;1,06%;8,00%;0,00%;0,00%;N/A;302.563.337,00;100,85;0,1;0,12%;-0,42%;-0,30%;2,96%;0
SNCI11;PAPÉIS;100,15;603.859,52;1,01;1;0,99%;3,19%;6,42%;12,58%;1,06%;1,07%;1,05%;7,45%;0,40%;1,39%;9,92%;415.451.792,74;97,83;1,02;1,12%;0,44%;1,57%;11,62%;0
SNFF11;FUNDO DE FUNDOS;91,48;494.120,34;0,97;0,65;0,72%;2,20%;4,49%;9,77%;0,73%;0,75%;0,81%;5,24%;2,37%;3,11%;7,84%;265.411.251,95;88,83;1,03;1,46%;-4,82%;-3,43%;1,12%;0
SNID11;FUNDO DE DESENVOLVIMENTO;101,11;176.638,93;N/A;1,15;1,14%;3,40%;5,46%;7,92%;1,13%;0,91%;0,79%;7,92%;-0,35%;0,79%;5,94%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
SNLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;31,44;51.971,59;0,49;0,35;0,99%;2,68%;5,21%;11,52%;0,89%;0,87%;0,96%;1,85%;-12,69%;-11,83%;-14,27%;119.765.997,95;N/A;N/A;N/A;N/A;N/A;N/A;2
SOLR11;IMÓVEIS COMERCIAIS - OUTROS;1.128,06;1.058,50;1,18;4,77;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;59.920.468,57;N/A;N/A;N/A;N/A;N/A;N/A;1
SPMO11;INDEFINIDO;119,9;239;0,96;0,43;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;226.243.719,24;N/A;N/A;N/A;N/A;N/A;N/A;0
SPTW11;LAJES CORPORATIVAS;41,09;91.008,38;0,73;0,46;1,11%;3,07%;6,26%;12,29%;1,02%;1,04%;1,02%;8,38%;-3,04%;-1,96%;10,59%;100.695.045,93;53,18;0,77;0,79%;0,09%;0,88%;8,73%;1
SPXS11;INDEFINIDO;100,5;608.815,62;1,05;1,23;1,20%;3,72%;7,51%;12,20%;1,24%;1,25%;1,02%;9,73%;5,47%;6,74%;23,18%;119.290.463,55;N/A;N/A;N/A;N/A;N/A;N/A;0
SRVD11;INDEFINIDO;3;233,91;583;0,2;2,29%;3,30%;3,30%;3,30%;1,65%;1,65%;1,65%;3,30%;-9,79%;-7,73%;-7,73%;-647.694,94;1,19;2,53;16,87%;-0,11%;16,74%;25,64%;0
STRX11;FUNDO DE DESENVOLVIMENTO;8,52;N/A;0,05;0,75;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;264.687.656,20;140,86;0,06;0,50%;0,01%;0,51%;5,95%;3
TCPF11;MISTO;1,26;N/A;0,01;1,52;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;37.245.835,78;N/A;N/A;N/A;N/A;N/A;N/A;0
TEPP11;LAJES CORPORATIVAS;89,47;1.069.509,34;0,96;0,58;0,65%;2,23%;4,39%;8,47%;0,74%;0,73%;0,71%;5,85%;0,45%;1,11%;40,55%;401.241.306,21;90,23;0,99;0,55%;-0,09%;0,46%;4,65%;5
TGAR11;FUNDO DE DESENVOLVIMENTO;122,11;4.055.983,69;1,04;1,42;1,16%;3,43%;6,93%;13,97%;1,14%;1,16%;1,16%;9,18%;-0,24%;0,92%;10,07%;1.626.948.102,10;114,63;1,07;1,31%;-2,00%;-0,72%;-0,98%;8
TJKB11;INDEFINIDO;262,16;594,5;0,98;2,62;0,00%;0,00%;0,93%;0,93%;0,00%;0,16%;0,08%;0,93%;0,00%;0,00%;N/A;202.746.905,04;N/A;N/A;N/A;N/A;N/A;N/A;7
TMPS11;FUNDO DE FUNDOS;103,98;58.387,17;0,94;0,8;0,76%;2,62%;2,62%;2,62%;1,31%;1,31%;1,31%;2,62%;-0,58%;0,18%;3,44%;106.293.705,07;N/A;N/A;N/A;N/A;N/A;N/A;0
TORD11;MISTO;2,27;247.347,93;0,18;0,05;0,90%;2,51%;5,20%;11,46%;0,84%;0,87%;0,96%;0,90%;-24,53%;-23,85%;-23,85%;441.080.668,28;14,09;0,16;0,57%;-0,45%;0,12%;12,89%;1
TRBL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;100,44;843.155,62;1,05;0,72;0,71%;2,33%;5,01%;10,20%;0,78%;0,84%;0,85%;6,83%;2,24%;2,97%;13,80%;612.048.658,06;N/A;N/A;N/A;N/A;N/A;N/A;5
TRNT11;LAJES CORPORATIVAS;123;57.703,58;0,63;0,42;0,00%;0,00%;1,29%;2,81%;0,00%;0,22%;0,23%;1,61%;0,00%;0,00%;N/A;773.997.393,87;202,57;0,61;0,26%;0,01%;0,27%;1,40%;1
TRXB11;FUNDO DE DESENVOLVIMENTO;119;740,68;1,09;0,92;0,77%;1,44%;3,71%;7,54%;0,48%;0,62%;0,63%;5,23%;0,00%;0,00%;N/A;313.127.824,30;N/A;N/A;N/A;N/A;N/A;N/A;12
TRXF11;IMÓVEIS COMERCIAIS - OUTROS;112,55;5.183.699,14;1,06;0,9;0,79%;2,40%;4,85%;9,95%;0,80%;0,81%;0,83%;6,48%;0,84%;1,64%;15,44%;1.271.774.618,80;101,04;1,11;0,84%;0,23%;1,07%;9,94%;30
TSER11;LAJES CORPORATIVAS;102;1.217,33;1,01;0,92;0,90%;1,82%;2,78%;4,50%;0,61%;0,46%;0,38%;3,67%;0,00%;0,00%;N/A;129.147.505,71;N/A;N/A;N/A;N/A;N/A;N/A;1
URPR11;PAPÉIS;95,65;1.935.459,10;0,96;1,16;1,19%;3,67%;7,88%;15,11%;1,22%;1,31%;1,26%;10,43%;-3,06%;-1,90%;7,13%;1.167.835.850,29;99,33;0,96;1,12%;-1,74%;-0,64%;22,93%;0
VCJR11;PAPÉIS;90,9;1.934.404,41;0,94;0,55;0,60%;2,47%;6,46%;10,73%;0,82%;1,08%;0,89%;8,72%;-0,48%;0,12%;9,65%;1.425.367.434,14;94,13;0,97;0,46%;-1,54%;-1,09%;11,45%;0
VCRA11;INDEFINIDO;95,05;554.130,66;0,98;1,25;1,30%;3,76%;7,74%;15,44%;1,25%;1,29%;1,29%;10,05%;-0,39%;0,90%;0,06%;471.373.746,60;102,61;0,93;1,16%;0,22%;1,38%;2,87%;0
VCRI11;PAPÉIS;8,37;278.311,97;0,86;0,09;0,98%;3,32%;7,50%;15,35%;1,11%;1,25%;1,28%;10,02%;-1,48%;-0,52%;5,12%;171.490.682,95;9,57;0,87;1,25%;-1,33%;-0,09%;1,69%;0
VCRR11;IMÓVEIS RESIDENCIAIS;77,53;331.307,79;0,6;0,69;0,90%;2,58%;5,39%;10,81%;0,86%;0,90%;0,90%;7,29%;-6,02%;-5,17%;11,92%;256.768.437,00;120,03;0,65;0,56%;0,06%;0,62%;6,67%;0
VGHF11;MISTO;9,54;3.280.654,41;1,01;0,12;1,25%;3,74%;7,34%;13,43%;1,25%;1,22%;1,12%;9,52%;-0,62%;0,62%;12,62%;686.848.266,32;9,22;1,03;1,08%;-1,70%;-0,64%;12,47%;0
VGIA11;INDEFINIDO;9,51;5.640.816,72;1;0,13;0,00%;2,71%;6,97%;15,71%;0,90%;1,16%;1,31%;9,92%;0,00%;0,00%;N/A;821.089.744,86;9,5;1;1,37%;-0,30%;1,06%;9,29%;0
VGIP11;PAPÉIS;93,91;1.979.487,10;1,01;0,85;0,92%;3,25%;7,08%;11,64%;1,08%;1,18%;0,97%;8,05%;0,38%;1,31%;16,65%;1.103.693.956,74;90,67;1,04;0,50%;-1,78%;-1,29%;8,00%;0
VGIR11;PAPÉIS;9,74;4.781.281,48;1,02;0,12;1,22%;3,85%;7,62%;15,29%;1,28%;1,27%;1,27%;8,96%;1,24%;2,47%;9,53%;995.247.970,32;9,62;1,01;1,35%;-0,20%;1,15%;-89,14%;0
VIFI11;FUNDO DE FUNDOS;8,49;183.665,59;0,9;0,07;0,82%;2,53%;5,31%;10,55%;0,84%;0,89%;0,88%;7,21%;2,27%;3,11%;31,57%;76.239.072,37;8,89;0,96;0,68%;-5,14%;-4,50%;-69,51%;0
VILG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;105;2.653.022,66;0,95;0,7;0,67%;1,94%;4,10%;8,16%;0,65%;0,68%;0,68%;5,43%;-4,84%;-4,20%;10,56%;1.678.321.852,08;113,68;0,92;0,63%;-0,28%;0,35%;6,85%;14
VINO11;LAJES CORPORATIVAS;9,08;1.018.477,90;0,17;0,06;0,65%;1,97%;4,19%;8,40%;0,66%;0,70%;0,70%;5,63%;-1,60%;-0,96%;2,33%;900.631.675,97;53,9;0,17;0,63%;-0,44%;0,19%;4,17%;10
VISC11;SHOPPINGS;122,02;4.558.542,00;1,06;0,92;0,76%;2,18%;4,43%;8,82%;0,73%;0,74%;0,74%;5,98%;0,97%;1,74%;20,67%;2.137.514.464,12;114,93;1,06;0,66%;-0,04%;0,62%;5,92%;20
VIUR11;MISTO;8,31;401.291,72;0,92;0,07;0,86%;2,57%;5,63%;11,41%;0,86%;0,94%;0,95%;7,76%;-1,30%;-0,45%;14,17%;244.201.443,22;9,51;0,87;0,76%;-0,12%;0,64%;-89,31%;8
VLOL11;LAJES CORPORATIVAS;98;160.238,13;0,88;16,3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;198.219.080,15;103,62;0,95;0,59%;-0,02%;0,57%;5,31%;1
VOTS11;PAPÉIS;82,78;3.532,38;0,88;0,75;0,89%;2,72%;6,77%;14,02%;0,91%;1,13%;1,17%;10,75%;-3,38%;-2,52%;13,16%;77.851.965,30;93,54;0,88;0,92%;-1,44%;-0,53%;8,00%;0
VRTA11;PAPÉIS;90,04;2.171.751,72;0,95;0,7;0,76%;2,51%;5,81%;12,09%;0,84%;0,97%;1,01%;8,02%;-0,58%;0,18%;12,71%;1.470.814.336,50;91,92;0,98;0,98%;-2,34%;-1,39%;8,87%;0
VSEC11;PAPÉIS;0,21;2,5;0,07;0,08;0,00%;0,00%;138,00%;138,42%;0,00%;23,00%;11,54%;138,00%;0,00%;0,00%;N/A;195.500,80;N/A;N/A;N/A;N/A;N/A;N/A;0
VSHO11;SHOPPINGS;77,11;162.493,21;0,76;0,72;0,93%;2,76%;5,91%;11,04%;0,92%;0,99%;0,92%;7,93%;-1,53%;-0,62%;23,24%;212.838.822,52;98,91;0,78;0,69%;0,13%;0,82%;3,57%;3
VSLH11;PAPÉIS;3,1;301.414,66;0,32;0,03;0,83%;2,17%;3,89%;10,46%;0,72%;0,65%;0,87%;6,16%;-10,62%;-9,88%;-57,66%;305.283.221,57;10,47;0,3;1,05%;-0,53%;0,51%;19,15%;0
VTLT11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;95,99;221.962,83;0,95;0,88;0,89%;2,65%;5,55%;10,95%;0,88%;0,93%;0,91%;7,50%;-0,70%;0,18%;14,09%;213.846.188,19;102,98;0,93;0,81%;0,05%;0,86%;8,91%;1
VVCO11;LAJES CORPORATIVAS;12,85;295.801,66;0,92;11,16;62,87%;62,87%;62,87%;62,87%;62,87%;62,87%;62,87%;62,87%;0,00%;0,00%;N/A;70.250.520,08;N/A;N/A;N/A;N/A;N/A;N/A;1
VVCR11;PAPÉIS;22,88;82.061,41;1,03;0,3;1,32%;6,39%;20,10%;48,89%;2,13%;3,35%;4,07%;29,45%;7,36%;8,77%;-0,47%;24.085.452,18;N/A;N/A;N/A;N/A;N/A;N/A;0
VVPR11;MISTO;101,5;1.249.061,55;1,04;0,89;0,89%;2,47%;4,88%;9,72%;0,82%;0,81%;0,81%;6,65%;0,40%;1,30%;15,02%;226.032.234,18;103,41;0,98;0,74%;0,02%;0,76%;1,53%;6
VVRI11;INDEFINIDO;100;11.135,52;1,01;1,3;1,30%;4,28%;5,78%;5,78%;1,43%;1,45%;1,45%;5,78%;0,24%;1,54%;4,60%;38.565.153,26;N/A;N/A;N/A;N/A;N/A;N/A;1
VXXV11;FUNDO DE DESENVOLVIMENTO;1.030,00;6.468.571,67;0,96;10,76;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;285.710.669,37;N/A;N/A;N/A;N/A;N/A;N/A;2
WPLZ11;SHOPPINGS;66,01;10.588,10;0,76;0,41;0,61%;2,15%;4,03%;8,04%;0,72%;0,67%;0,67%;5,29%;-16,49%;-15,98%;-12,89%;89.618.455,74;102,99;0,64;0,58%;0,06%;0,64%;4,68%;1
WSEC11;INDEFINIDO;86;13.747,00;0,86;0,95;1,09%;3,21%;6,71%;13,23%;1,07%;1,12%;1,10%;11,26%;-0,17%;0,92%;-0,07%;24.675.438,15;N/A;N/A;N/A;N/A;N/A;N/A;0
WTSP11B;MISTO;36,5;3.120,00;0,5;0,2;0,54%;1,22%;2,44%;7,52%;0,41%;0,41%;0,63%;3,01%;4,49%;5,05%;-6,72%;71.984.230,05;78,92;0,46;0,40%;0,69%;1,09%;5,11%;2
XPCA11;INDEFINIDO;9,56;1.561.675,17;1,04;0,14;1,45%;3,89%;7,83%;15,84%;1,30%;1,31%;1,32%;10,45%;3,54%;5,05%;11,17%;317.410.269,39;9,49;1,01;1,37%;-0,01%;1,36%;14,00%;0
XPCI11;PAPÉIS;87,26;2.422.413,83;0,91;0,9;1,03%;3,21%;6,56%;12,37%;1,07%;1,09%;1,03%;9,03%;0,16%;1,19%;17,12%;824.443.352,07;93,63;0,93;0,64%;-1,97%;-1,34%;10,11%;0
XPCM11;LAJES CORPORATIVAS;11,9;31.138,72;0,29;0,07;0,58%;1,60%;3,64%;9,40%;0,53%;0,61%;0,78%;5,13%;-10,44%;-9,93%;-11,27%;100.994.615,18;51,53;0,23;0,33%;-0,77%;-0,45%;-2,97%;1
XPHT11;HOTÉIS;123;230.869,59;2,21;127,7;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;607.450.694,60;94,19;1,31;1,59%;-0,08%;1,51%;6,74%;12
XPID11;FUNDO DE DESENVOLVIMENTO;90,45;807.615,66;N/A;0,45;0,50%;1,86%;4,02%;7,92%;0,62%;0,67%;0,66%;10,19%;2,55%;3,07%;14,62%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
XPIN11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;84;412.875,72;0,79;0,65;0,78%;2,38%;5,06%;10,09%;0,79%;0,84%;0,84%;5,97%;-0,05%;0,73%;19,32%;740.570.598,23;103,81;0,81;0,63%;-1,37%;-0,75%;0,75%;98
XPLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;112,75;3.785.056,31;1,02;0,78;0,69%;2,06%;4,29%;8,72%;0,69%;0,72%;0,73%;5,89%;-0,93%;-0,24%;21,30%;3.017.112.409,31;114,49;0,98;0,65%;0,19%;0,84%;11,47%;20
XPML11;SHOPPINGS;113,39;10.126.999,24;0,99;0,84;0,77%;2,35%;4,74%;9,41%;0,78%;0,79%;0,78%;5,53%;4,17%;4,97%;16,14%;3.050.727.984,48;101,27;1,12;0,76%;-0,66%;0,10%;6,56%;12
XPPR11;LAJES CORPORATIVAS;22,69;337.110,21;0,32;0,1;0,45%;1,33%;2,58%;6,96%;0,44%;0,43%;0,58%;3,83%;-0,63%;-0,18%;-28,31%;515.697.388,77;74,77;0,3;0,40%;0,05%;0,45%;-3,65%;5
XPSF11;FUNDO DE FUNDOS;8,5;583.859,55;0,96;0,08;0,86%;2,75%;5,93%;12,08%;0,92%;0,99%;1,01%;8,05%;3,81%;4,70%;24,30%;381.685.180,11;8,54;1;0,90%;-4,04%;-3,18%;-89,40%;0
XTED11;LAJES CORPORATIVAS;8,82;17.641,88;0,68;11,16;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;67.378.204,04;28,02;0,31;0,00%;-0,36%;-0,36%;-3,45%;1
YUFI11;FUNDO DE DESENVOLVIMENTO;88,9;149;0,87;0,38;0,00%;0,70%;1,09%;1,09%;0,23%;0,18%;0,09%;1,09%;0,00%;0,00%;N/A;50.098.006,90;N/A;N/A;N/A;N/A;N/A;N/A;28
ZAVI11;INDEFINIDO;129,95;255.275,10;0,95;1,16;0,92%;2,72%;5,33%;8,80%;0,91%;0,89%;0,88%;6,95%;-0,97%;-0,06%;4,04%;158.659.136,14;N/A;N/A;N/A;N/A;N/A;N/A;9
ZIFI11;FUNDO DE DESENVOLVIMENTO;898;18.291,00;0,74;3,31;0,00%;0,00%;;;;;;;;;;;;;;;;;

